Lake,Year,Author,Station,Depth m,Depth zones,Basin,Latitude,Longitude,Density D. polymorpha ind m-2 ,Density D. r. bugensis ind m-2,Density all Dreissena ind m-2,Biomass D. polymorpha gAFDTW/m2,Biomass D. r. bugensis gAFDTW/m2,Biomass all Dreissena gAFDTW/m2
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,100,100,>90,excluding Green Bay,43.017,-86.617,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,822,52,51-90,excluding Green Bay,42.142,-86.662,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9211,73,51-90,excluding Green Bay,43.016,-86.407,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9222,124,>90,excluding Green Bay,42.496,-86.829,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9224,73,51-90,excluding Green Bay,42.503,-86.529,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9511,87,51-90,excluding Green Bay,42.12,-87.052,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9531,145,>90,excluding Green Bay,42.669,-87.251,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9534,157,>90,excluding Green Bay,42.771,-87.076,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9544,93,>90,excluding Green Bay,42.952,-87.309,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9552,86,51-90,excluding Green Bay,43.185,-87.209,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9554,114,>90,excluding Green Bay,43.238,-86.887,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9556,71,51-90,excluding Green Bay,43.305,-87.772,0,0,0,0,0,0
Michigan,1994,Nalepa T. F. D. L. Fanslow G. A. Lang K. Mabrey and M. Rowe. 2014.  Lake-wide benthic surveys in Lake Michigan in 1994-95 2000 2005 and 2010: Abundances of the amphipod Diporea spp. and abundances and biomass of the mussels Dreissena polymorpha and Dreissena rostriformis bugensis. NOAA Technical Memorandum GLERL-164.,9559,80,51-90,excluding Green Bay,43.419,-87.109,0,0,0,0,0,0
